date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2021-01-31,0.3436632,0.2716811,0.18955277,0.34774452,0.14703594,0.5534116,0.76876676,0.7928203,0.104207896,0.11468759,0.10749282,0.11341865,0.14417072,0.1766728,0.19215356,0.22688475,0.21652426,0.24049787,0.02939928,0.0259878
2021-02-23,0.3935232,0.16304615,0.16597064,0.44598547,0.1822054,-0.6023883,-0.101948485,0.07290394,0.004480926,0.029191745,0.047141913,0.06750749,0.09664825,0.12121408,0.13967183,0.15502685,0.16813539,0.20988357,0.19044271,0.13421613
2021-02-25,0.42172593,0.17287023,0.17749578,0.46358567,0.18789849,-0.62334853,-0.1255732,0.08019265,0.013114027,0.026056908,0.047044482,0.06419629,0.09404429,0.11835539,0.13743414,0.15744644,0.16854063,0.17448643,0.20236707,0.13390413
2021-03-05,0.46555245,0.2088688,0.19625464,0.5756502,0.2228957,-0.608032,-0.050324593,0.15265258,0.030515451,0.038942955,0.043568064,0.0592611,0.084741145,0.11290179,0.13313952,0.16185832,0.16766861,0.16519512,0.1785717,0.11872266
2021-03-22,0.35329497,0.16872202,0.14863817,0.37952155,0.1593689,-0.4694322,-0.03244278,0.14435485,0.040005647,0.055518992,0.058049828,0.072115056,0.09173774,0.11004156,0.12648374,0.15089382,0.15066384,0.14908174,0.16062692,0.11249533
2021-03-30,0.42759305,0.18905288,0.18409473,0.5214099,0.20644845,-0.6342343,-0.15697373,0.042603448,0.031910513,0.035968713,0.049908683,0.0653623,0.0946189,0.1244825,0.14379093,0.16268376,0.1759079,0.17736717,0.22273313,0.14904669
2021-04-04,0.33875537,0.20125464,0.15112473,0.38984567,0.1620352,-0.35321608,-0.009174887,0.17904282,0.07201227,0.08263557,0.07970578,0.080774866,0.10010547,0.1262367,0.13851264,0.1628669,0.15447673,0.15940243,0.16517775,0.112912014
2021-04-11,0.47108656,0.30641603,0.25950342,0.6641872,0.2487794,-0.51346487,-0.0051540257,0.20408347,0.066945195,0.069037296,0.07505174,0.083174795,0.12701619,0.18177024,0.21133292,0.23206386,0.24970715,0.2504309,0.23388465,0.15293728
2021-04-21,0.5651821,0.3295452,0.29649782,0.8807061,0.30491126,-0.56637275,0.007320969,0.23053947,0.03845195,0.048362162,0.061445776,0.062591925,0.10527604,0.1729394,0.19806713,0.22617486,0.23001291,0.23013891,0.22208764,0.14081073
2021-04-26,0.6048325,0.41653767,0.37261066,0.94045496,0.31890205,-0.56515247,0.049774226,0.28943685,0.054870557,0.054402955,0.072247446,0.070828624,0.1300065,0.22025909,0.25229523,0.28872898,0.29258266,0.28885347,0.2602338,0.15828115
